PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
48,0,0,-0.78,-17.09189232,-5.3047861,0,0,0,0
49,0,0,-0.78,-17.09189232,-5.3047861,0,0,0,0
50,0,0,-0.78,-16.79436162,-4.77651731,0,0,0,0
51,0,0,-0.78,-16.636546455,-4.164194465,0,0,0,0
52,0,0,-0.78,-16.47873129,-3.55187162,0,0,0,0
53,0,0,-0.78,-16.48505489,-2.919510675,0,0,0,0
54,0,0,-0.78,-16.49137849,-2.28714973,0,0,0,0
55,0,0,-0.78,-16.66213822,-1.680004055,0,0,0,0
56,0,0,-0.78,-16.83289795,-1.07285838,0,0,0,0
57,0,0,-0.78,-17.149805755,-0.53846483,0,0,0,0
58,0,0,-0.78,-17.46671356,-0.00407128000000023,0,0,0,0
59,0,0,-0.78,-17.884693125,0.438138985,0,0,0,0
60,0,0,-0.78,-17.9465994946571,0.518477039439147,0,0,0,0
61,0,0,-0.78,-18.0017949399485,0.618812002123272,0,0,0,0
62,0,0,-0.78,-18.0491745132798,0.734091449163389,0,0,0,0
63,0,0,-0.78,-18.087633267057,0.859262956670514,0,0,0,0
64,0,0,-0.78,-18.1160662536858,0.98927410075566,0,0,0,0
65,0,0,-0.78,-18.133368525572,1.11907245752984,0,0,0,0
66,0,0,-0.78,-18.1384351351213,1.24360560310408,0,0,0,0
67,0,0,-0.78,-18.1301611347395,1.35782111358938,0,0,0,0
68,0,0,-0.78,-18.1074415768325,1.45666656509677,0,0,0,0
69,0,0,-0.78,-17.99202291,1.79737955444444,0,0,0,0
70,0,0,-0.78,-17.46731554,2.56411410888889,0,0,0,0
71,0,0,-0.78,-16.94260817,3.33084866333333,0,0,0,0
72,0,0,-0.78,-16.4179008,4.09758321777778,0,0,0,0
73,0,0,-0.78,-15.89319343,4.86431777222222,0,0,0,0
74,0,0,-0.78,-15.36848606,5.63105232666667,0,0,0,0
75,0,0,-0.78,-14.84377869,6.39778688111111,0,0,0,0
76,0,0,-0.78,-14.31907132,7.16452143555555,0,0,0,0
77,0,0,-0.78,-14.0686900706806,7.51418145978682,0,0,0,0
78,0,0,-0.78,-13.9838921510087,7.59249348998341,0,0,0,0
79,0,0,-0.78,-13.8819583778614,7.67101394722868,0,0,0,0
80,0,0,-0.78,-13.768055901846,7.7467482311883,0,0,0,0
81,0,0,-0.78,-13.6473518735695,7.81670174152793,0,0,0,0
82,0,0,-0.78,-13.5250134436395,7.87787987791325,0,0,0,0
83,0,0,-0.78,-13.406207762663,7.92728804000993,0,0,0,0
84,0,0,-0.78,-13.2961019812474,7.96193162748362,0,0,0,0
85,0,0,-0.78,-13.19986325,7.97881604,0,0,0,0
86,0,0,-0.78,-13.19986325,7.97881604,0,0,0,0
87,0,0,-0.78,-12.646890705,8.102952735,0,0,0,0
88,0,0,-0.78,-12.09391816,8.22708943,0,0,0,0
89,0,0,-0.78,-11.570815015,8.410732025,0,0,0,0
